	localization	go
C004373	lysosome	go4
C004376	endoplasmic_reticulum	go2
C004380	lysosome	go3
C004381	mitochondria	go3
C004383	mitochondria	go3
C004384	lysosome	go4
C004385	lysosome	go1
C004390	lysosome	go1
C004394	lysosome	go2
C004396	endoplasmic_reticulum	go1
C004398	lysosome	go2
C004399	nucleus	go1
C004402	endoplasmic_reticulum	go1
C004403	nucleus	go1
C004404	mitochondria	go2
C004410	mitochondria	go1
C004412	lysosome	go4
C004414	endoplasmic_reticulum	go2
C004416	lysosome	go3
C004420	endoplasmic_reticulum	go4
C004428	mitochondria	go1
C004429	lysosome	go4
C004430	lysosome	go3
C004431	nucleus	go1
C004433	endoplasmic_reticulum	go2
C004434	mitochondria	go1
C004436	endoplasmic_reticulum	go1
C004439	nucleus	go1
C004440	lysosome	go4
C004442	mitochondria	go2
C004446	mitochondria	go4
C004448	nucleus	go3
C004450	lysosome	go4
C004451	lysosome	go4
C004452	lysosome	go2
C004454	mitochondria	go4
C004455	mitochondria	go4
C004456	endoplasmic_reticulum	go2
C004458	mitochondria	go1
C004459	lysosome	go3
C004463	lysosome	go4
C004470	endoplasmic_reticulum	go2
C004474	lysosome	go3
C004475	lysosome	go2
C004476	lysosome	go2
C004477	mitochondria	go2
C004478	endoplasmic_reticulum	go3
C004479	endoplasmic_reticulum	go4
C004482	lysosome	go3
C004484	lysosome	go1
C004485	endoplasmic_reticulum	go3
C004487	lysosome	go2
C004488	lysosome	go3
C004489	nucleus	go2
C004494	mitochondria	go4
C004497	endoplasmic_reticulum	go2
C004498	nucleus	go3
C004499	nucleus	go3
C004500	nucleus	go4
C004502	lysosome	go1
C004504	mitochondria	go4
C004505	mitochondria	go1
C004507	endoplasmic_reticulum	go1
C004508	nucleus	go2
C004513	mitochondria	go4
C004515	endoplasmic_reticulum	go1
C004518	nucleus	go1
C004519	endoplasmic_reticulum	go2
C004520	endoplasmic_reticulum	go3
C004522	mitochondria	go3
C004525	endoplasmic_reticulum	go4
C004529	lysosome	go3
C004530	lysosome	go2
C004532	endoplasmic_reticulum	go2
C004533	mitochondria	go1
C004534	nucleus	go4
C004537	mitochondria	go3
C004538	nucleus	go1
C004539	lysosome	go3
C004542	lysosome	go2
C004544	nucleus	go1
C004545	nucleus	go1
C004547	nucleus	go3
C004548	endoplasmic_reticulum	go1
C004549	endoplasmic_reticulum	go2
C004551	endoplasmic_reticulum	go2
C004552	lysosome	go2
C004553	endoplasmic_reticulum	go3
C004554	endoplasmic_reticulum	go2
C004555	mitochondria	go1
C004560	nucleus	go4
C004561	endoplasmic_reticulum	go4
C004562	lysosome	go1
C004569	endoplasmic_reticulum	go3
C004570	lysosome	go2
C004571	endoplasmic_reticulum	go1
C004575	mitochondria	go1
C004576	mitochondria	go1
C004577	lysosome	go3
C004578	mitochondria	go3
C004579	endoplasmic_reticulum	go1
C004580	nucleus	go4
C004583	lysosome	go2
C004584	endoplasmic_reticulum	go4
C004587	nucleus	go3
C004588	mitochondria	go2
C004589	lysosome	go2
C004590	lysosome	go3
C004593	lysosome	go4
C004594	mitochondria	go4
C004595	endoplasmic_reticulum	go4
C004596	endoplasmic_reticulum	go4
C004597	mitochondria	go1
C004598	mitochondria	go4
C004600	lysosome	go1
C004602	mitochondria	go2
C004603	mitochondria	go1
C004604	endoplasmic_reticulum	go3
C004605	nucleus	go4
C004606	nucleus	go3
C004613	lysosome	go4
C004614	nucleus	go2
C004619	endoplasmic_reticulum	go1
C004620	endoplasmic_reticulum	go3
C004621	endoplasmic_reticulum	go4
C004622	lysosome	go3
C004627	lysosome	go2
C004628	lysosome	go4
C004630	lysosome	go3
C004632	nucleus	go3
C004644	lysosome	go2
C004650	lysosome	go3
C004653	nucleus	go4
C004654	mitochondria	go1
C004659	mitochondria	go3
C004662	mitochondria	go3
C004664	mitochondria	go4
C004667	mitochondria	go2
C004668	endoplasmic_reticulum	go4
C004669	endoplasmic_reticulum	go3
C004670	nucleus	go1
C004672	lysosome	go3
C004674	mitochondria	go1
C004677	nucleus	go3
C004678	mitochondria	go3
C004680	endoplasmic_reticulum	go4
C004686	mitochondria	go4
C004691	lysosome	go1
C004693	lysosome	go2
C004694	endoplasmic_reticulum	go1
C004695	lysosome	go4
C004698	mitochondria	go1
C004699	mitochondria	go3
C004702	nucleus	go2
C004704	nucleus	go3
C004705	nucleus	go3
C004708	nucleus	go4
C004712	nucleus	go1
C004713	lysosome	go2
C004729	lysosome	go1
C004730	mitochondria	go1
C004731	lysosome	go3
C004733	nucleus	go2
C004737	nucleus	go1
C004738	lysosome	go4
C004742	endoplasmic_reticulum	go4
C004743	endoplasmic_reticulum	go3
C004746	nucleus	go3
C004747	lysosome	go1
C004749	lysosome	go3
C004750	nucleus	go2
C004753	nucleus	go2
C004755	lysosome	go2
C004756	mitochondria	go1
C004757	mitochondria	go1
C004763	nucleus	go4
C004764	nucleus	go1
C004768	lysosome	go4
C004771	mitochondria	go1
C004772	endoplasmic_reticulum	go2
C004773	nucleus	go2
C004775	endoplasmic_reticulum	go2
C004776	lysosome	go3
C004777	mitochondria	go1
C004779	nucleus	go4
C004780	nucleus	go3
C004781	nucleus	go1
C004782	lysosome	go2
C004784	endoplasmic_reticulum	go2
C004785	mitochondria	go3
C004786	mitochondria	go2
C004789	endoplasmic_reticulum	go3
C004796	mitochondria	go1
C004805	lysosome	go3
C004807	endoplasmic_reticulum	go1
C004809	lysosome	go3
C004810	nucleus	go3
C004812	nucleus	go1
C004813	lysosome	go2
C004818	mitochondria	go3
C004819	mitochondria	go2
C004820	nucleus	go3
C004822	lysosome	go1
C004823	endoplasmic_reticulum	go2
C004825	mitochondria	go1
C004827	nucleus	go1
C004829	nucleus	go3
C004830	lysosome	go2
C004831	lysosome	go4
C004832	lysosome	go3
C004835	lysosome	go4
C004840	lysosome	go1
C004841	nucleus	go3
C004843	endoplasmic_reticulum	go3
C004846	endoplasmic_reticulum	go1
C004847	mitochondria	go3
C004849	endoplasmic_reticulum	go1
C004856	nucleus	go4
C004859	endoplasmic_reticulum	go2
C004862	mitochondria	go4
C004863	mitochondria	go1
C004865	lysosome	go3
C004876	mitochondria	go3
C004877	nucleus	go3
C004878	endoplasmic_reticulum	go3
C004879	lysosome	go3
C004882	mitochondria	go1
C004883	endoplasmic_reticulum	go1
C004884	nucleus	go3
C004885	lysosome	go4
C004886	mitochondria	go3
C004888	lysosome	go4
C004891	endoplasmic_reticulum	go4
C004892	nucleus	go1
C004893	mitochondria	go3
C004894	lysosome	go4
C004899	nucleus	go2
C004900	lysosome	go1
C004901	mitochondria	go4
C004912	lysosome	go3
C004916	mitochondria	go4
C004917	endoplasmic_reticulum	go2
C004918	nucleus	go1
C004919	lysosome	go3
C004920	lysosome	go4
C004921	lysosome	go3
C004924	nucleus	go2
C004927	lysosome	go2
C004928	mitochondria	go2
C004929	lysosome	go2
C004931	endoplasmic_reticulum	go2
C004932	endoplasmic_reticulum	go2
C004934	mitochondria	go3
C004935	lysosome	go4
C004937	nucleus	go4
C004939	nucleus	go1
C004948	mitochondria	go4
C004949	endoplasmic_reticulum	go4
C004950	nucleus	go4
C004951	mitochondria	go2
C004954	nucleus	go4
C004955	endoplasmic_reticulum	go3
C004956	lysosome	go1
C004957	mitochondria	go4
C004958	nucleus	go1
C004959	mitochondria	go2
C004965	endoplasmic_reticulum	go1
C004973	endoplasmic_reticulum	go3
C004974	lysosome	go1
C004975	lysosome	go3
C004976	nucleus	go1
C004977	endoplasmic_reticulum	go2
C004979	endoplasmic_reticulum	go2
C004980	mitochondria	go1
C004982	mitochondria	go3
C004986	nucleus	go4
C004989	lysosome	go3
C004993	mitochondria	go4
C004997	endoplasmic_reticulum	go4
C004999	nucleus	go3
C005004	lysosome	go1
C005006	nucleus	go4
C005008	mitochondria	go2
C005009	lysosome	go1
C005010	endoplasmic_reticulum	go1
C005013	endoplasmic_reticulum	go3
C005014	nucleus	go4
C005017	endoplasmic_reticulum	go2
C005018	mitochondria	go3
C005019	lysosome	go3
C005025	nucleus	go4
C005028	endoplasmic_reticulum	go3
C005031	endoplasmic_reticulum	go4
C005038	lysosome	go2
C005042	endoplasmic_reticulum	go1
C005043	lysosome	go2
C005044	mitochondria	go1
C005050	endoplasmic_reticulum	go2
C005051	lysosome	go1
C005058	mitochondria	go3
C005060	mitochondria	go1
C005061	mitochondria	go2
C005062	endoplasmic_reticulum	go2
C005063	nucleus	go2
C005068	mitochondria	go4
C005069	endoplasmic_reticulum	go3
C005071	endoplasmic_reticulum	go2
C005072	mitochondria	go2
C005079	nucleus	go4
C005080	lysosome	go1
C005081	endoplasmic_reticulum	go4
C005083	nucleus	go2
C005085	nucleus	go1
C005093	endoplasmic_reticulum	go4
C005095	mitochondria	go2
C005098	lysosome	go2
C005100	nucleus	go2
C005102	nucleus	go4
C005107	endoplasmic_reticulum	go4
C005108	endoplasmic_reticulum	go1
C005111	mitochondria	go1
C005115	lysosome	go4
C005117	nucleus	go2
C005118	endoplasmic_reticulum	go4
C005119	nucleus	go1
C005120	endoplasmic_reticulum	go3
C005121	lysosome	go2
C005123	nucleus	go4
C005124	lysosome	go1
C005125	lysosome	go4
C005130	endoplasmic_reticulum	go4
C005131	lysosome	go4
C005132	lysosome	go1
C005133	endoplasmic_reticulum	go3
C005134	nucleus	go1
C005143	endoplasmic_reticulum	go2
C005146	nucleus	go3
C005152	nucleus	go1
C005154	mitochondria	go1
C005159	lysosome	go1
C005160	mitochondria	go3
C005161	endoplasmic_reticulum	go3
C005162	mitochondria	go1
C005163	lysosome	go1
C005166	mitochondria	go1
C005167	nucleus	go1
C005170	endoplasmic_reticulum	go4
C005174	mitochondria	go1
C005176	mitochondria	go2
C005177	mitochondria	go4
C005184	mitochondria	go4
C005185	mitochondria	go2
C005186	nucleus	go3
C005190	mitochondria	go4
C005198	endoplasmic_reticulum	go4
C005200	nucleus	go3
C005201	mitochondria	go4
C005202	lysosome	go1
C005204	mitochondria	go1
C005205	nucleus	go4
C005213	endoplasmic_reticulum	go4
C005225	mitochondria	go3
C005226	endoplasmic_reticulum	go2
C005228	mitochondria	go1
C005229	endoplasmic_reticulum	go1
C005230	nucleus	go4
C005233	mitochondria	go1
C005234	endoplasmic_reticulum	go1
C005235	endoplasmic_reticulum	go3
C005236	mitochondria	go1
C005239	mitochondria	go1
C005240	nucleus	go3
C005243	endoplasmic_reticulum	go4
C005245	nucleus	go2
C005246	nucleus	go1
C005247	nucleus	go2
C005248	nucleus	go2
C005249	endoplasmic_reticulum	go3
C005253	lysosome	go3
C005257	nucleus	go4
C005259	nucleus	go3
C005261	endoplasmic_reticulum	go4
C005262	endoplasmic_reticulum	go2
C005263	nucleus	go3
C005268	lysosome	go4
C005271	nucleus	go4
C005272	nucleus	go2
C005275	lysosome	go4
C005283	mitochondria	go3
C005287	endoplasmic_reticulum	go3
C005288	lysosome	go2
C005289	mitochondria	go4
C005290	nucleus	go3
C005292	lysosome	go2
C005294	endoplasmic_reticulum	go3
C005296	mitochondria	go4
C005299	mitochondria	go2
C005300	nucleus	go2
C005301	mitochondria	go2
C005302	nucleus	go1
C005303	endoplasmic_reticulum	go3
C005305	endoplasmic_reticulum	go2
C005306	mitochondria	go4
C005312	mitochondria	go1
C005313	nucleus	go4
C005314	lysosome	go1
C005316	mitochondria	go1
C005318	lysosome	go1
C005320	nucleus	go3
C005322	lysosome	go1
C005326	mitochondria	go4
C005328	endoplasmic_reticulum	go2
C005336	mitochondria	go1
C005340	endoplasmic_reticulum	go2
C005341	lysosome	go2
C005342	endoplasmic_reticulum	go1
C005343	mitochondria	go2
C005344	lysosome	go3
C005347	mitochondria	go1
C005348	nucleus	go1
C005349	nucleus	go3
C005350	lysosome	go3
C005353	lysosome	go4
C005354	nucleus	go2
C005365	nucleus	go3
C005375	mitochondria	go1
C005376	endoplasmic_reticulum	go2
C005378	lysosome	go3
C005382	nucleus	go4
C005385	nucleus	go1
C005386	nucleus	go4
C005387	lysosome	go3
C005391	mitochondria	go4
C005392	endoplasmic_reticulum	go4
C005395	lysosome	go2
C005397	lysosome	go4
C005399	endoplasmic_reticulum	go2
C005400	lysosome	go3
C005402	nucleus	go1
C005412	endoplasmic_reticulum	go1
C005416	mitochondria	go4
C005420	nucleus	go2
C005421	endoplasmic_reticulum	go2
C005422	endoplasmic_reticulum	go3
C005442	nucleus	go3
C005446	nucleus	go2
C005452	nucleus	go4
C005453	endoplasmic_reticulum	go2
C005457	nucleus	go1
C005458	mitochondria	go1
C005459	endoplasmic_reticulum	go2
C005462	endoplasmic_reticulum	go2
C005475	endoplasmic_reticulum	go2
C005477	endoplasmic_reticulum	go4
C005482	mitochondria	go3
C005484	lysosome	go4
C005490	lysosome	go3
C005491	nucleus	go2
C005495	nucleus	go3
C005496	nucleus	go2
C005497	nucleus	go1
C005499	endoplasmic_reticulum	go2
C005501	endoplasmic_reticulum	go4
C005505	lysosome	go4
C005506	mitochondria	go1
C005507	lysosome	go2
C005512	mitochondria	go3
C005513	nucleus	go4
C005517	mitochondria	go1
C005522	nucleus	go1
C005524	nucleus	go1
C005526	lysosome	go2
C005527	lysosome	go4
C005529	endoplasmic_reticulum	go4
C005530	mitochondria	go1
C005533	nucleus	go3
C005535	nucleus	go4
C005537	lysosome	go2
C005539	lysosome	go3
C005542	mitochondria	go4
C005544	lysosome	go1
C005553	nucleus	go4
C005554	lysosome	go2
C005557	mitochondria	go3
C005559	lysosome	go2
C005564	nucleus	go3
C005565	mitochondria	go2
C005570	nucleus	go2
C005576	endoplasmic_reticulum	go4
C005577	nucleus	go4
C005578	lysosome	go3
C005579	endoplasmic_reticulum	go4
C005580	nucleus	go3
C005581	lysosome	go4
C005587	lysosome	go4
C005589	nucleus	go2
C005593	mitochondria	go3
C005594	endoplasmic_reticulum	go1
C005604	lysosome	go4
C005606	nucleus	go3
C005607	nucleus	go4
C005610	lysosome	go1
C005614	mitochondria	go2
C005615	lysosome	go1
C005621	lysosome	go2
C005622	mitochondria	go3
C005624	mitochondria	go4
C005626	nucleus	go3
C005627	nucleus	go1
C005629	lysosome	go3
C005630	nucleus	go4
C005631	mitochondria	go1
C005632	lysosome	go1
C005633	lysosome	go3
C005634	lysosome	go2
C005635	nucleus	go3
C005638	mitochondria	go1
C005639	lysosome	go4
C005645	lysosome	go4
C005646	lysosome	go4
C005651	lysosome	go2
C005652	mitochondria	go2
C005654	lysosome	go1
C005655	mitochondria	go2
C005662	nucleus	go2
C005666	mitochondria	go2
C005668	mitochondria	go2
C005670	mitochondria	go4
C005672	mitochondria	go4
C005674	nucleus	go1
C005676	endoplasmic_reticulum	go3
C005677	mitochondria	go2
C005679	lysosome	go2
C005683	endoplasmic_reticulum	go4
C005684	nucleus	go1
C005688	nucleus	go2
C005689	endoplasmic_reticulum	go4
C005691	mitochondria	go4
C005693	nucleus	go3
C005694	lysosome	go3
C005695	mitochondria	go2
C005701	mitochondria	go4
C005706	lysosome	go4
C005707	endoplasmic_reticulum	go1
C005708	endoplasmic_reticulum	go3
C005710	endoplasmic_reticulum	go4
C005711	lysosome	go3
C005712	endoplasmic_reticulum	go4
C005714	nucleus	go1
C005720	mitochondria	go4
C005723	nucleus	go2
C005724	endoplasmic_reticulum	go1
C005727	nucleus	go1
C005728	endoplasmic_reticulum	go4
C005731	nucleus	go2
C005735	nucleus	go1
C005740	endoplasmic_reticulum	go1
C005742	nucleus	go2
C005747	endoplasmic_reticulum	go3
C005749	nucleus	go3
C005751	lysosome	go4
C005752	lysosome	go1
C005755	endoplasmic_reticulum	go2
C005759	lysosome	go2
C005760	lysosome	go4
C005761	lysosome	go3
C005762	endoplasmic_reticulum	go4
C005782	nucleus	go3
C005785	mitochondria	go1
C005787	endoplasmic_reticulum	go4
C005788	mitochondria	go3
C005789	lysosome	go2
C005790	endoplasmic_reticulum	go1
C005795	lysosome	go1
C005799	lysosome	go4
C005802	endoplasmic_reticulum	go1
C005804	lysosome	go3
C005810	endoplasmic_reticulum	go3
C005815	mitochondria	go2
C005818	endoplasmic_reticulum	go4
C005819	mitochondria	go1
C005827	mitochondria	go4
C005828	lysosome	go2
C005829	mitochondria	go2
C005833	mitochondria	go1
C005834	lysosome	go3
C005835	nucleus	go3
C005837	nucleus	go2
C005841	mitochondria	go3
C005842	mitochondria	go1
C005844	nucleus	go4
C005849	endoplasmic_reticulum	go3
C005850	endoplasmic_reticulum	go3
C005851	lysosome	go4
C005855	mitochondria	go4
C005865	lysosome	go4
C005866	nucleus	go1
C005867	mitochondria	go4
C005868	endoplasmic_reticulum	go2
C005876	mitochondria	go1
C005878	lysosome	go4
C005884	mitochondria	go3
C005887	mitochondria	go4
C005891	nucleus	go3
C005892	endoplasmic_reticulum	go3
C005894	lysosome	go1
C005895	mitochondria	go2
C005909	nucleus	go4
C005919	mitochondria	go4
C005921	lysosome	go2
C005922	endoplasmic_reticulum	go2
C005923	mitochondria	go3
C005925	mitochondria	go2
C005926	nucleus	go2
C005927	mitochondria	go3
C005930	nucleus	go2
C005935	nucleus	go1
C005936	lysosome	go4
C005937	endoplasmic_reticulum	go3
C005939	nucleus	go2
C005944	nucleus	go3
C005945	lysosome	go4
C005951	endoplasmic_reticulum	go4
C005953	mitochondria	go3
C005956	nucleus	go3
C005957	endoplasmic_reticulum	go1
C005960	nucleus	go3
C005962	mitochondria	go1
C005965	lysosome	go3
C005968	endoplasmic_reticulum	go1
C005969	endoplasmic_reticulum	go3
C005976	nucleus	go1
C005977	endoplasmic_reticulum	go1
C005979	endoplasmic_reticulum	go3
C005985	endoplasmic_reticulum	go1
C005987	nucleus	go4
C005988	endoplasmic_reticulum	go4
C005990	endoplasmic_reticulum	go1
C005992	endoplasmic_reticulum	go4
C005994	lysosome	go3
C006003	lysosome	go3
C006004	mitochondria	go2
C006008	mitochondria	go4
C006010	nucleus	go1
C006014	mitochondria	go4
C006018	nucleus	go3
C006019	endoplasmic_reticulum	go2
C006023	lysosome	go3
C006025	lysosome	go2
C006028	nucleus	go3
C006034	nucleus	go1
C006040	mitochondria	go1
C006046	endoplasmic_reticulum	go3
C006052	nucleus	go1
C006054	nucleus	go3
C006056	lysosome	go3
C006057	mitochondria	go4
C006060	lysosome	go2
C006061	endoplasmic_reticulum	go4
C006070	endoplasmic_reticulum	go4
C006073	nucleus	go3
C006075	lysosome	go1
C006078	lysosome	go1
C006080	lysosome	go3
C006084	lysosome	go1
C006087	mitochondria	go3
C006097	nucleus	go3
C006100	mitochondria	go2
C006108	lysosome	go4
C006110	lysosome	go1
C006112	endoplasmic_reticulum	go2
C006114	lysosome	go1
C006122	nucleus	go3
C006125	lysosome	go1
C006128	endoplasmic_reticulum	go2
C006137	lysosome	go4
C006138	lysosome	go3
C006141	nucleus	go4
C006142	nucleus	go3
C006145	endoplasmic_reticulum	go3
C006151	endoplasmic_reticulum	go1
C006154	endoplasmic_reticulum	go4
C006156	mitochondria	go3
C006175	nucleus	go1
C006178	endoplasmic_reticulum	go4
C006179	nucleus	go3
C006182	endoplasmic_reticulum	go3
C006189	mitochondria	go4
C006190	endoplasmic_reticulum	go2
C006191	nucleus	go2
C006196	mitochondria	go4
C006199	lysosome	go1
C006201	lysosome	go2
C006208	endoplasmic_reticulum	go4
C006211	endoplasmic_reticulum	go1
C006226	nucleus	go1
C006231	lysosome	go2
C006238	nucleus	go1
C006242	endoplasmic_reticulum	go4
C006245	mitochondria	go1
C006246	nucleus	go3
C006251	lysosome	go3
C006254	nucleus	go3
C006258	lysosome	go4
C006260	mitochondria	go1
C006268	mitochondria	go2
C006273	endoplasmic_reticulum	go2
C006280	lysosome	go1
C006281	lysosome	go1
C006284	lysosome	go1
C006296	nucleus	go1
C006303	endoplasmic_reticulum	go2
C006305	lysosome	go2
C006312	lysosome	go1
C006313	nucleus	go1
C006319	nucleus	go3
C006321	lysosome	go3
C006322	mitochondria	go1
C006324	nucleus	go4
C006327	lysosome	go2
C006347	nucleus	go1
C006348	endoplasmic_reticulum	go2
C006357	mitochondria	go3
C006361	lysosome	go2
C006362	lysosome	go2
C006364	lysosome	go4
C006366	endoplasmic_reticulum	go1
C006371	lysosome	go2
C006377	endoplasmic_reticulum	go2
C006379	mitochondria	go1
C006381	nucleus	go1
C006382	nucleus	go2
C006391	mitochondria	go1
C006398	endoplasmic_reticulum	go2
C006399	endoplasmic_reticulum	go2
C006400	endoplasmic_reticulum	go1
C006428	endoplasmic_reticulum	go3
C006431	nucleus	go4
C006435	lysosome	go2
C006437	mitochondria	go2
C006441	nucleus	go1
C006444	lysosome	go2
C006445	lysosome	go2
C006448	nucleus	go1
C006450	lysosome	go1
C006454	mitochondria	go3
C006464	mitochondria	go1
C006472	mitochondria	go4
C006474	nucleus	go1
C006475	endoplasmic_reticulum	go2
C006483	lysosome	go3
C006484	endoplasmic_reticulum	go4
C006487	nucleus	go3
C006495	mitochondria	go4
C006506	endoplasmic_reticulum	go1
C006512	nucleus	go4
C006513	mitochondria	go3
C006532	nucleus	go2
C006533	nucleus	go4
C006534	lysosome	go1
C006535	lysosome	go2
C006536	lysosome	go4
C006537	nucleus	go4
C006538	endoplasmic_reticulum	go1
C006539	mitochondria	go1
C006540	mitochondria	go3
C006547	nucleus	go2
C006553	lysosome	go2
C006554	nucleus	go3
C006555	endoplasmic_reticulum	go2
C006556	nucleus	go3
C006562	mitochondria	go2
C006569	lysosome	go1
C006575	nucleus	go1
C006577	endoplasmic_reticulum	go1
C006579	nucleus	go2
C006585	endoplasmic_reticulum	go4
C006586	mitochondria	go2
C006587	nucleus	go2
C006589	endoplasmic_reticulum	go2
C006600	nucleus	go3
C006601	nucleus	go4
C006604	endoplasmic_reticulum	go1
C006624	mitochondria	go1
C006627	lysosome	go1
C006631	endoplasmic_reticulum	go3
C006633	endoplasmic_reticulum	go3
C006637	nucleus	go1
C006639	mitochondria	go2
C006646	mitochondria	go1
C006656	lysosome	go1
C006659	mitochondria	go4
C006664	nucleus	go3
C006666	lysosome	go4
C006672	lysosome	go2
C006676	lysosome	go2
C006678	mitochondria	go2
C006685	nucleus	go4
C006690	nucleus	go4
C006697	nucleus	go3
C006699	mitochondria	go4
C006700	mitochondria	go3
C006701	endoplasmic_reticulum	go1
C006705	nucleus	go3
C006719	mitochondria	go3
C006727	lysosome	go1
C006729	endoplasmic_reticulum	go3
C006738	nucleus	go1
C006753	lysosome	go2
C006754	lysosome	go3
C006757	nucleus	go4
C006765	lysosome	go2
C006766	nucleus	go2
C006768	mitochondria	go3
C006774	nucleus	go2
C006777	lysosome	go4
C006778	lysosome	go3
C006785	lysosome	go4
C006787	lysosome	go3
C006788	mitochondria	go3
C006791	lysosome	go1
C006792	endoplasmic_reticulum	go3
C006793	endoplasmic_reticulum	go4
C006794	nucleus	go4
C006795	mitochondria	go1
C006797	nucleus	go4
C006800	lysosome	go4
C006803	nucleus	go2
C006806	endoplasmic_reticulum	go1
C006809	nucleus	go1
C006813	mitochondria	go1
C006814	nucleus	go1
C006815	endoplasmic_reticulum	go4
C006816	lysosome	go4
C006830	mitochondria	go4
C006835	lysosome	go1
C006841	endoplasmic_reticulum	go4
C006845	endoplasmic_reticulum	go1
C006850	nucleus	go4
C006857	mitochondria	go1
C006865	lysosome	go4
C006869	nucleus	go1
C006871	lysosome	go4
C006874	lysosome	go2
C006876	nucleus	go3
C006878	lysosome	go4
C006879	nucleus	go4
C006883	nucleus	go2
C006884	nucleus	go3
C006890	mitochondria	go3
C006902	mitochondria	go1
C006903	nucleus	go3
C006904	lysosome	go3
C006907	endoplasmic_reticulum	go2
C006914	mitochondria	go1
C006919	endoplasmic_reticulum	go4
C006921	lysosome	go4
C006923	nucleus	go1
C006931	mitochondria	go1
C006932	mitochondria	go2
C006934	lysosome	go4
C006936	nucleus	go2
C006941	mitochondria	go3
C006947	nucleus	go1
C006952	lysosome	go1
C006955	endoplasmic_reticulum	go4
C006959	endoplasmic_reticulum	go4
C006981	nucleus	go2
C006986	endoplasmic_reticulum	go2
C006993	mitochondria	go3
C006998	lysosome	go4
C007002	mitochondria	go1
C007004	nucleus	go3
C007007	endoplasmic_reticulum	go4
C007014	lysosome	go1
C007018	lysosome	go1
C007021	mitochondria	go2
C007029	lysosome	go4
C007030	mitochondria	go2
C007032	nucleus	go2
C007034	endoplasmic_reticulum	go4
C007035	endoplasmic_reticulum	go1
C007036	nucleus	go1
C007046	endoplasmic_reticulum	go2
C007052	nucleus	go2
C007071	mitochondria	go3
C007072	endoplasmic_reticulum	go3
C007075	nucleus	go1
C007086	endoplasmic_reticulum	go2
C007095	nucleus	go3
C007107	nucleus	go3
C007111	endoplasmic_reticulum	go2
C007113	mitochondria	go4
C007115	endoplasmic_reticulum	go3
C007116	endoplasmic_reticulum	go3
C007135	nucleus	go2
C007141	endoplasmic_reticulum	go3
C007142	nucleus	go1
C007147	lysosome	go2
C007153	lysosome	go1
C007159	nucleus	go4
C007179	nucleus	go3
C007185	mitochondria	go1
C007189	nucleus	go2
C007191	endoplasmic_reticulum	go3
C007193	endoplasmic_reticulum	go3
C007196	mitochondria	go1
C007199	lysosome	go4
C007202	mitochondria	go2
C007204	mitochondria	go4
C007205	nucleus	go4
C007207	endoplasmic_reticulum	go4
C007214	mitochondria	go4
C007248	nucleus	go2
C007254	endoplasmic_reticulum	go3
C007262	nucleus	go4
C007269	mitochondria	go4
C007273	endoplasmic_reticulum	go2
C007276	endoplasmic_reticulum	go1
C007278	nucleus	go2
C007280	endoplasmic_reticulum	go1
C007281	lysosome	go4
C007282	lysosome	go3
C007284	nucleus	go1
C007322	endoplasmic_reticulum	go4
C007325	lysosome	go4
C007334	endoplasmic_reticulum	go4
C007335	mitochondria	go3
C007347	lysosome	go1
C007355	mitochondria	go2
C007358	nucleus	go4
C007369	mitochondria	go1
C007370	endoplasmic_reticulum	go4
C007388	mitochondria	go1
C007394	mitochondria	go1
C007406	endoplasmic_reticulum	go2
C007419	nucleus	go2
C007426	lysosome	go3
C007439	lysosome	go3
C007441	nucleus	go3
C007448	nucleus	go1
C007451	endoplasmic_reticulum	go2
C007454	nucleus	go1
C007480	endoplasmic_reticulum	go4
C007501	nucleus	go2
C007506	nucleus	go4
C007513	endoplasmic_reticulum	go1
C007534	nucleus	go2
C007538	mitochondria	go4
C007544	mitochondria	go3
C007549	endoplasmic_reticulum	go2
C007550	endoplasmic_reticulum	go3
C007555	nucleus	go4
C007579	lysosome	go1
C007590	nucleus	go2
C007612	nucleus	go3
C007645	nucleus	go2
C007654	endoplasmic_reticulum	go4
C007659	nucleus	go2
C007744	mitochondria	go1
C007750	nucleus	go2
C007751	lysosome	go4
C007781	mitochondria	go3
C007803	endoplasmic_reticulum	go3
C007809	endoplasmic_reticulum	go4
C007814	mitochondria	go3
C007816	lysosome	go4
C007818	mitochondria	go4
C007855	endoplasmic_reticulum	go4
C007891	nucleus	go1
C007915	lysosome	go2
C007917	endoplasmic_reticulum	go2
C007926	lysosome	go1
C007928	endoplasmic_reticulum	go4
C007940	nucleus	go2
C007948	nucleus	go1
C007951	lysosome	go3
C007954	lysosome	go1
C007958	mitochondria	go2
C007959	lysosome	go2
C007982	nucleus	go1
C008007	endoplasmic_reticulum	go4
C008025	endoplasmic_reticulum	go1
C008035	endoplasmic_reticulum	go2
C008065	endoplasmic_reticulum	go4
C008066	mitochondria	go4
C008073	mitochondria	go2
C008075	endoplasmic_reticulum	go3
C008076	lysosome	go3
C008090	mitochondria	go3
C008092	lysosome	go3
C008109	mitochondria	go2
C008113	endoplasmic_reticulum	go3
C008127	lysosome	go4
C008135	lysosome	go3
C008152	nucleus	go3
C008174	endoplasmic_reticulum	go1
C008175	mitochondria	go3
C008176	mitochondria	go4
C008205	nucleus	go4
C008210	mitochondria	go2
C008216	endoplasmic_reticulum	go4
C008231	mitochondria	go1
C008258	lysosome	go2
C008261	endoplasmic_reticulum	go4
